sales_person,country,product,date,amount,boxes_shipped,festival
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,5320.0,180,None Festival
Van Tuxwell,India,85% Dark Bars,2022-08-01,7896.0,94,None Festival
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501.0,91,None Festival
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,12726.0,342,Easter
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,13685.0,184,None Festival
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,5376.0,38,None Festival
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,13685.0,176,None Festival
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080.0,73,None Festival
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,3990.0,59,Easter
Brien Boise,Australia,99% Dark & Pure,2022-07-04,2835.0,102,None Festival
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,4704.0,62,None Festival
Barr Faughny,USA,Orange Choco,2022-03-10,3703.0,11,White Day
Mallorie Waber,Canada,Eclairs,2022-01-13,1442.0,286,None Festival
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,168.0,156,None Festival
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,8379.0,173,None Festival
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,6790.0,356,None Festival
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,4067.0,42,Valentine's Day
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,3017.0,140,Easter
Beverie Moffet,Canada,Milk Bars,2022-02-16,8799.0,250,Valentine's Day
Curtice Advani,UK,85% Dark Bars,2022-06-08,1085.0,172,None Festival
Brien Boise,Australia,Eclairs,2022-06-27,6888.0,88,None Festival
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,1267.0,157,None Festival
Marney O'Breen,USA,After Nines,2022-05-30,4753.0,163,None Festival
Husein Augar,UK,Drinking Coco,2022-03-14,3003.0,113,White Day
Kaine Padly,Australia,Eclairs,2022-02-28,7672.0,115,None Festival
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,168.0,321,None Festival
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,1652.0,186,None Festival
Husein Augar,USA,Eclairs,2022-07-07,4025.0,112,None Festival
